frequency,phase,gain
6.6249e+07,40.6235,-11.658
6.70172e+07,34.5275,-12.6555
6.77944e+07,28.9738,-13.6904
6.85805e+07,23.9302,-14.7481
6.93758e+07,19.3523,-15.8175
7.01803e+07,15.1914,-16.8907
7.09941e+07,11.3996,-17.9623
7.18174e+07,7.93255,-19.0286
7.26502e+07,4.75019,-20.0876
7.34927e+07,1.81738,-21.138
7.43449e+07,-0.896355,-22.1795
7.5207e+07,-3.41732,-23.2122
7.60791e+07,-5.7681,-24.2364
7.69614e+07,-7.96806,-25.2529
7.78538e+07,-10.0338,-26.2624
7.87566e+07,-11.9797,-27.2658
7.96699e+07,-13.8181,-28.2642
8.05938e+07,-15.5595,-29.2586
8.15284e+07,-17.2134,-30.2501
8.24738e+07,-18.7876,-31.2397
8.34302e+07,-20.2894,-32.2286
8.43976e+07,-21.7249,-33.218
8.53763e+07,-23.0995,-34.2091
8.63664e+07,-24.4181,-35.203
8.73679e+07,-25.6849,-36.2012
8.8381e+07,-26.9038,-37.2049
8.94059e+07,-28.0781,-38.2156
9.04427e+07,-29.211,-39.2349
9.14915e+07,-30.3051,-40.2644
9.25524e+07,-31.363,-41.306
9.36257e+07,-32.3869,-42.3616
9.47114e+07,-33.3788,-43.4335
9.58097e+07,-34.3406,-44.5242
9.69207e+07,-35.274,-45.6366
9.80446e+07,-36.1806,-46.774
9.91816e+07,-37.0618,-47.9403
1.00332e+08,-37.9188,-49.14
1.01495e+08,-38.7529,-50.3785
1.02672e+08,-39.5652,-51.6625
1.03863e+08,-40.3568,-53.0002
1.05067e+08,-41.1285,-54.402
1.06286e+08,-41.8813,-55.8812
1.07518e+08,-42.6161,-57.4558
1.08765e+08,-43.3335,-59.1499
1.10026e+08,-44.0343,-60.9982
1.11302e+08,-44.7192,-63.0527
1.12593e+08,-45.3888,-65.3964
1.13898e+08,-46.0437,-68.1748
1.15219e+08,-46.6845,-71.6814
1.16555e+08,-47.3116,-76.6668
1.17907e+08,-47.9257,-86.5083
1.19274e+08,131.473,-88.1071
1.20657e+08,130.884,-78.8429
1.22056e+08,130.306,-74.9603
1.23472e+08,129.74,-72.633
1.24904e+08,129.186,-71.0614
1.26352e+08,128.641,-69.939
1.27817e+08,128.107,-69.1159
1.29299e+08,127.583,-68.5073
1.30799e+08,127.069,-68.0609
1.32315e+08,126.564,-67.7422
1.3385e+08,126.069,-67.5271
1.35402e+08,125.582,-67.3985
1.36972e+08,125.104,-67.344
1.38561e+08,124.634,-67.354
1.40167e+08,124.173,-67.4214
1.41793e+08,123.719,-67.5407
1.43437e+08,123.273,-67.7078
1.451e+08,122.835,-67.9196
1.46783e+08,122.403,-68.1739
1.48485e+08,121.979,-68.4693
1.50207e+08,121.562,-68.8048
1.51949e+08,121.152,-69.1804
1.53711e+08,120.749,-69.5965
1.55493e+08,120.352,-70.0541
1.57296e+08,119.961,-70.5551
1.5912e+08,119.576,-71.1019
1.60966e+08,119.197,-71.698
1.62832e+08,118.825,-72.348
1.6472e+08,118.458,-73.0578
1.66631e+08,118.096,-73.8353
1.68563e+08,117.74,-74.6909
1.70517e+08,117.39,-75.6383
1.72495e+08,117.045,-76.6966
1.74495e+08,116.705,-77.8922
1.76519e+08,116.37,-79.2642
1.78566e+08,116.04,-80.8725
1.80636e+08,115.714,-82.8162
1.82731e+08,115.394,-85.2773
1.8485e+08,115.078,-88.6485
1.86993e+08,114.767,-94.0801
1.89162e+08,114.46,-110.587
1.91355e+08,-65.8429,-97.4076
1.93574e+08,-66.1411,-90.5986
1.95819e+08,-66.435,-86.9068
1.9809e+08,-66.7249,-84.3839
2.00387e+08,-67.0107,-82.4799
2.02711e+08,-67.2925,-80.9605
2.05061e+08,-67.5704,-79.704
2.07439e+08,-67.8445,-78.6386
2.09845e+08,-68.1148,-77.7187
2.12278e+08,-68.3815,-76.9134
2.1474e+08,-68.6444,-76.2007
2.1723e+08,-68.9039,-75.5644
2.19749e+08,-69.1598,-74.9924
2.22297e+08,-69.4122,-74.4752
2.24875e+08,-69.6613,-74.0053
2.27483e+08,-69.9071,-73.5765
2.30121e+08,-70.1495,-73.1841
2.32789e+08,-70.3888,-72.8238
2.35489e+08,-70.6249,-72.4922
2.3822e+08,-70.8578,-72.1865
2.40982e+08,-71.0877,-71.9041
2.43776e+08,-71.3146,-71.6429
2.46603e+08,-71.5386,-71.4011
2.49463e+08,-71.7596,-71.177
2.52356e+08,-71.9777,-70.9692
2.55282e+08,-72.1931,-70.7764
2.58243e+08,-72.4056,-70.5975
2.61237e+08,-72.6154,-70.4315
2.64267e+08,-72.8225,-70.2776
2.67331e+08,-73.027,-70.1348
2.70431e+08,-73.2288,-70.0025
2.73567e+08,-73.4281,-69.88
2.76739e+08,-73.6248,-69.7667
2.79948e+08,-73.8191,-69.6621
2.83195e+08,-74.0109,-69.5656
2.86479e+08,-74.2002,-69.4768
2.89801e+08,-74.3872,-69.3953
2.93161e+08,-74.5718,-69.3206
2.96561e+08,-74.7541,-69.2524
3e+08,-74.9342,-69.1905
