f,s11r,s11c,s12r,s12c,e,f,g,h
107906,-0.104941704,0.006962113,0.894057088,-0.04199208,0,0,0,0
108596,-0.10511336,0.007403719,0.894181184,-0.04257116,0,0,0,0
109285,-0.104813864,0.007660678,0.893866048,-0.042709012,0,0,0,0
109974,-0.104961344,0.007834764,0.893800704,-0.04320612,0,0,0,0
110664,-0.104886928,0.00796655,0.894028096,-0.043684596,0,0,0,0
111353,-0.104855616,0.008273296,0.894145344,-0.043609612,0,0,0,0
112042,-0.104842408,0.008515547,0.894132032,-0.044168836,0,0,0,0
112732,-0.104973448,0.008755269,0.894297216,-0.044269516,0,0,0,0
113421,-0.104839952,0.008793207,0.894299392,-0.04469422,0,0,0,0
114110,-0.10490008,0.009192782,0.89445984,-0.044988904,0,0,0,0
114800,-0.104960048,0.00931833,0.893911808,-0.045055996,0,0,0,0
115489,-0.104998488,0.009514822,0.89411232,-0.045536364,0,0,0,0
116179,-0.104895112,0.009629006,0.894250944,-0.045755236,0,0,0,0
116868,-0.104983088,0.009918147,0.894053632,-0.04609092,0,0,0,0
117557,-0.104977488,0.010169418,0.89395264,-0.04610394,0,0,0,0
118247,-0.1047766,0.010299794,0.8937712,-0.046431444,0,0,0,0
118936,-0.104855328,0.010244364,0.894233088,-0.046683676,0,0,0,0
118936,-0.104924176,0.01045262,0.894205952,-0.046765456,0,0,0,0
120576,-0.104691616,0.010782759,0.893163264,-0.047340248,0,0,0,0
122216,-0.104895,0.011333,0.893884288,-0.04785528,0,0,0,0
123855,-0.104940784,0.011751825,0.894075776,-0.048531448,0,0,0,0
125495,-0.104934472,0.012379194,0.893776256,-0.048980632,0,0,0,0
127135,-0.104902216,0.012501495,0.893856768,-0.049431716,0,0,0,0
128775,-0.104902392,0.01302312,0.893785152,-0.049989928,0,0,0,0
130415,-0.104752712,0.013038304,0.893945472,-0.050767172,0,0,0,0
132054,-0.105043624,0.013680719,0.893045888,-0.051055512,0,0,0,0
133694,-0.104876344,0.013988559,0.893855808,-0.051727808,0,0,0,0
135334,-0.104721152,0.014262041,0.893408064,-0.052106852,0,0,0,0
136974,-0.104918576,0.014643237,0.893819648,-0.05258774,0,0,0,0
138613,-0.104792592,0.01484434,0.89352256,-0.052917324,0,0,0,0
140253,-0.104833552,0.015211624,0.893673152,-0.053558524,0,0,0,0
141893,-0.104715328,0.015451333,0.893896,-0.054042988,0,0,0,0
143533,-0.104725032,0.01582297,0.894451968,-0.054591008,0,0,0,0
145173,-0.104719392,0.016055381,0.89408992,-0.054749704,0,0,0,0
146812,-0.104797768,0.016603213,0.893366976,-0.055294476,0,0,0,0
148452,-0.104807032,0.016617802,0.893890112,-0.05558428,0,0,0,0
150092,-0.104865848,0.01707079,0.893185408,-0.056085524,0,0,0,0
151732,-0.10477676,0.017269108,0.893718592,-0.056694588,0,0,0,0
153372,-0.10495484,0.01749201,0.893729344,-0.056895572,0,0,0,0
155011,-0.104911072,0.017895504,0.8938528,-0.057256848,0,0,0,0
156651,-0.10476252,0.018013662,0.893773376,-0.057569888,0,0,0,0
158291,-0.104771496,0.018196848,0.89370848,-0.058064612,0,0,0,0
159931,-0.10471828,0.01853907,0.893529472,-0.0584043,0,0,0,0
161571,-0.104720904,0.018810218,0.893414976,-0.058631084,0,0,0,0
163210,-0.104753968,0.019109176,0.893759104,-0.05922286,0,0,0,0
164850,-0.104875216,0.019258478,0.893152832,-0.059552996,0,0,0,0
166490,-0.10475308,0.01944027,0.893655488,-0.059716624,0,0,0,0
168130,-0.104591072,0.019597022,0.894271104,-0.06023534,0,0,0,0
169769,-0.10480044,0.019804178,0.893512192,-0.060586584,0,0,0,0
171409,-0.104600944,0.020106394,0.893646464,-0.060880516,0,0,0,0
173049,-0.10462536,0.020237926,0.89355744,-0.061166308,0,0,0,0
174689,-0.104696992,0.020436948,0.893603008,-0.061442444,0,0,0,0
176329,-0.10466072,0.020588598,0.893186432,-0.062102772,0,0,0,0
177968,-0.104775256,0.020774364,0.893340288,-0.062241588,0,0,0,0
179608,-0.104426824,0.021054786,0.8928192,-0.062292008,0,0,0,0
181248,-0.104586848,0.021101142,0.893445248,-0.062748524,0,0,0,0
182888,-0.10470416,0.021317408,0.893241088,-0.063310156,0,0,0,0
184528,-0.104559608,0.021700864,0.893158912,-0.063199,0,0,0,0
186167,-0.104625664,0.02168077,0.893406272,-0.063693412,0,0,0,0
187807,-0.10462496,0.021880702,0.893409536,-0.063859264,0,0,0,0
189447,-0.1045136,0.021985618,0.893264832,-0.064415672,0,0,0,0
191087,-0.10465664,0.02219001,0.8927888,-0.064486332,0,0,0,0
192727,-0.10464528,0.022396564,0.8936672,-0.06505774,0,0,0,0
194366,-0.104506464,0.022250994,0.893349632,-0.064896324,0,0,0,0
196006,-0.104676176,0.022605114,0.89295584,-0.065451124,0,0,0,0
197646,-0.104598144,0.022732738,0.89271776,-0.065634892,0,0,0,0
199286,-0.104567672,0.02284635,0.893093376,-0.06594284,0,0,0,0
200926,-0.104499208,0.023032472,0.892979136,-0.06601634,0,0,0,0
202565,-0.104579768,0.02308483,0.89311424,-0.066551104,0,0,0,0
