f,s11r,s11c,s12r,s12c,e,f,g,h
72505,-0.106402896,-0.009631888,0.894601664,-0.021895332,0,0,0,0
72777,-0.10652944,-0.009454889,0.896305152,-0.02140022,0,0,0,0
73048,-0.106496656,-0.009239102,0.895733824,-0.022169628,0,0,0,0
73319,-0.106449624,-0.008951507,0.89631808,-0.022220192,0,0,0,0
73590,-0.106338176,-0.008257413,0.896216128,-0.022390332,0,0,0,0
73861,-0.106455152,-0.008444608,0.896452352,-0.022766022,0,0,0,0
74132,-0.106526168,-0.008158986,0.896468992,-0.02269703,0,0,0,0
74404,-0.106414456,-0.008008144,0.895747264,-0.02333041,0,0,0,0
74675,-0.106490464,-0.007916884,0.896070016,-0.023859462,0,0,0,0
74946,-0.106500496,-0.007319465,0.896121216,-0.02331916,0,0,0,0
75217,-0.106561136,-0.00747269,0.896133056,-0.02421868,0,0,0,0
75488,-0.1065824,-0.006944752,0.896283456,-0.024075908,0,0,0,0
75759,-0.106342552,-0.007019128,0.896201984,-0.024093326,0,0,0,0
76030,-0.106483336,-0.006814346,0.896488768,-0.024327778,0,0,0,0
76302,-0.106443856,-0.00679758,0.89624768,-0.024603482,0,0,0,0
76573,-0.106586888,-0.006168359,0.896011648,-0.024917154,0,0,0,0
76844,-0.106623384,-0.006136149,0.896322816,-0.02494565,0,0,0,0
77115,-0.10645004,-0.00587247,0.896297472,-0.025317928,0,0,0,0
77115,-0.106413112,-0.006022216,0.896387648,-0.025423754,0,0,0,0
77533,-0.106454328,-0.005611617,0.896366784,-0.025572022,0,0,0,0
77951,-0.106480552,-0.005600133,0.89618464,-0.026162996,0,0,0,0
78370,-0.106638936,-0.005218597,0.896257536,-0.026308398,0,0,0,0
78788,-0.106401784,-0.005038159,0.896568576,-0.026630782,0,0,0,0
79206,-0.106645808,-0.004509878,0.896105152,-0.026918386,0,0,0,0
79624,-0.106541176,-0.004480969,0.896213056,-0.02735771,0,0,0,0
80042,-0.106707888,-0.004253253,0.896213504,-0.027561378,0,0,0,0
80461,-0.106482784,-0.003850589,0.896444928,-0.027745164,0,0,0,0
80879,-0.106707088,-0.00357831,0.896160448,-0.028005912,0,0,0,0
81297,-0.106593336,-0.00355975,0.896717696,-0.028666086,0,0,0,0
81715,-0.106543912,-0.003376598,0.895815424,-0.028650682,0,0,0,0
82134,-0.10643072,-0.00301662,0.895969088,-0.028831094,0,0,0,0
82552,-0.10657996,-0.002703973,0.89627552,-0.029202236,0,0,0,0
82970,-0.106598784,-0.002190121,0.895966464,-0.029912836,0,0,0,0
83388,-0.10650364,-0.002482121,0.896001088,-0.02982582,0,0,0,0
83806,-0.106872968,-0.001890514,0.895983552,-0.029992174,0,0,0,0
84225,-0.106954104,-0.002051415,0.895428864,-0.030635906,0,0,0,0
84643,-0.106858992,-0.001766443,0.89669088,-0.030549254,0,0,0,0
85061,-0.106664528,-0.001330266,0.896661056,-0.031180402,0,0,0,0
85479,-0.1067522,-0.001307947,0.896428672,-0.031478976,0,0,0,0
85897,-0.106630192,-0.001020488,0.896233856,-0.031502684,0,0,0,0
86316,-0.106507272,-0.0006233,0.89611264,-0.031894024,0,0,0,0
86734,-0.106775504,-0.000738111,0.896249536,-0.032430974,0,0,0,0
87152,-0.106579368,-0.000167224,0.896101248,-0.032293256,0,0,0,0
87570,-0.106715504,-0.000163028,0.896510592,-0.032506682,0,0,0,0
87988,-0.10657256,3.03e-05,0.8964512,-0.032827684,0,0,0,0
88407,-0.1065404,0.000231901,0.896545664,-0.03304039,0,0,0,0
88825,-0.106663184,0.000456411,0.896463744,-0.033256062,0,0,0,0
89243,-0.10661856,0.000740395,0.896418688,-0.033506434,0,0,0,0
89661,-0.106532008,0.000800029,0.896340096,-0.033652292,0,0,0,0
90080,-0.106837688,0.00107677,0.896115584,-0.034458232,0,0,0,0
90498,-0.106635224,0.001149941,0.896423936,-0.034252488,0,0,0,0
90916,-0.10667536,0.001378701,0.896764608,-0.03446924,0,0,0,0
91334,-0.106824472,0.001690935,0.896467776,-0.034746436,0,0,0,0
91752,-0.106839376,0.001859269,0.896604288,-0.035175192,0,0,0,0
92171,-0.106542848,0.001991209,0.896274368,-0.035425096,0,0,0,0
92589,-0.106745672,0.002082555,0.896177984,-0.03560328,0,0,0,0
93007,-0.106747472,0.002336319,0.896637888,-0.035774176,0,0,0,0
93425,-0.106831608,0.002299669,0.896598976,-0.036105652,0,0,0,0
93843,-0.106624752,0.002705794,0.896704704,-0.036411084,0,0,0,0
94262,-0.106645608,0.00278588,0.895897792,-0.036478444,0,0,0,0
